"Epoch (UTC)",""
2013-02-14T00:26:58.687Z,2.4239
2013-02-14T00:27:09.544Z,5.0097
2013-02-14T00:27:20.401Z,NaN
2013-02-14T00:27:31.257Z,3.0909
2013-02-14T00:27:42.114Z,NaN
2013-02-14T00:27:52.970Z,8.0489
2013-02-14T00:28:03.827Z,9.5035
2013-02-14T00:28:14.683Z,8.4251
2013-02-14T00:28:25.540Z,2.7109
2013-02-14T00:28:36.397Z,NaN
2013-02-14T00:28:47.253Z,4.9250
2013-02-14T00:28:58.110Z,6.4318
2013-02-14T00:29:08.966Z,5.7249
2013-02-14T00:29:19.822Z,7.2916
2013-02-14T00:29:30.679Z,NaN
2013-02-14T00:29:41.535Z,6.4824
2013-02-14T00:29:52.392Z,4.4617
2013-02-14T00:30:03.248Z,4.7849
2013-02-14T00:30:14.105Z,2.1792
2013-02-14T00:30:24.961Z,8.7664
2013-02-14T00:30:35.818Z,5.9621
2013-02-14T00:30:46.674Z,6.9293
2013-02-14T00:30:57.530Z,4.2752
2013-02-14T00:31:08.387Z,5.1306
2013-02-14T00:31:19.243Z,7.3378
2013-02-14T00:31:30.100Z,8.3132
2013-02-14T00:31:40.956Z,1.8518
2013-02-14T00:31:51.812Z,4.0381
2013-02-14T00:32:02.669Z,7.4020
2013-02-14T00:32:13.525Z,1.4831
2013-02-14T00:32:24.381Z,6.9016
2013-02-14T00:32:35.238Z,NaN
2013-02-14T00:32:46.094Z,4.8559
2013-02-14T00:32:56.950Z,3.5088
2013-02-14T00:33:07.807Z,4.3397
2013-02-14T00:33:18.663Z,4.7119
2013-02-14T00:33:29.519Z,3.5113
2013-02-14T00:33:40.376Z,5.7559
2013-02-14T00:33:51.232Z,3.7655
2013-02-14T00:34:02.088Z,4.3776
2013-02-14T00:34:12.944Z,3.0981
2013-02-14T00:34:23.801Z,2.0608
2013-02-14T00:34:34.657Z,9.8026
2013-02-14T00:34:45.513Z,3.0661
2013-02-14T00:34:56.369Z,0.43008
2013-02-14T00:35:07.225Z,1.9545
2013-02-14T00:35:18.082Z,2.9990
2013-02-14T00:35:28.938Z,3.2313
2013-02-14T00:35:39.794Z,2.3066
2013-02-14T00:35:50.650Z,2.3512
2013-02-14T00:36:01.507Z,1.2770
2013-02-14T00:36:12.363Z,2.3659
2013-02-14T00:36:23.219Z,4.4109
2013-02-14T00:36:34.075Z,1.5957
2013-02-14T00:36:44.931Z,2.6953
2013-02-14T00:36:55.788Z,1.1785
2013-02-14T00:37:06.644Z,3.6854
2013-02-14T00:37:17.500Z,3.0790
2013-02-14T00:37:28.356Z,2.0877
2013-02-14T00:37:39.212Z,1.8518
2013-02-14T00:37:50.068Z,1.4559
2013-02-14T00:38:00.924Z,1.8050
2013-02-14T00:38:11.781Z,1.1583
2013-02-14T00:38:22.637Z,2.0128
2013-02-14T00:38:33.493Z,4.9491
2013-02-14T00:38:44.349Z,1.4201
2013-02-14T00:38:55.205Z,0.68378
2013-02-14T00:39:06.061Z,1.5560
2013-02-14T00:39:16.917Z,1.0311
2013-02-14T00:39:27.774Z,0.68560
2013-02-14T00:39:38.630Z,0.75625
2013-02-14T00:39:49.486Z,0.37910
2013-02-14T00:40:00.342Z,0.045246
2013-02-14T00:40:11.198Z,1.2602
2013-02-14T00:40:22.054Z,0.19026
2013-02-14T00:40:32.910Z,0.00038729
2013-02-14T00:40:43.766Z,0.44503
2013-02-14T00:40:54.622Z,NaN
2013-02-14T00:41:05.478Z,0.86328
2013-02-14T00:41:16.335Z,0.31089
2013-02-14T00:41:27.191Z,0.48466
2013-02-14T00:41:38.047Z,0.031880
2013-02-14T00:41:48.903Z,0.35553
2013-02-14T00:41:59.759Z,0.16397
2013-02-14T00:42:10.615Z,0.51097
2013-02-14T00:42:21.471Z,0.37663
2013-02-14T00:42:32.327Z,1.5264
2013-02-14T00:42:43.183Z,4.2480
2013-02-14T00:42:54.039Z,1.1628
2013-02-14T00:43:04.895Z,NaN
2013-02-14T00:43:15.751Z,0.21710
2013-02-14T00:43:26.607Z,0.41545
2013-02-14T00:43:37.463Z,0.74508
2013-02-14T00:43:48.319Z,NaN
2013-02-14T00:43:59.175Z,0.65286
2013-02-14T00:44:10.031Z,0.093018
2013-02-14T00:44:20.887Z,NaN
2013-02-14T00:44:31.743Z,NaN
2013-02-14T00:44:42.599Z,0.0063620
2013-02-14T00:44:53.455Z,NaN
2013-02-14T00:45:04.311Z,NaN
2013-02-14T00:45:15.167Z,1.8465
2013-02-14T00:45:26.023Z,0.13733
2013-02-14T00:45:36.879Z,0.0026641
2013-02-14T00:45:47.735Z,0.23989
2013-02-14T00:45:58.591Z,0.00060233
2013-02-14T00:46:09.447Z,0.00026366
2013-02-14T00:46:20.303Z,0.0012116
2013-02-14T00:46:31.159Z,0.0021770
2013-02-14T00:46:42.015Z,NaN
2013-02-14T00:46:52.871Z,0.44524
2013-02-14T00:47:03.727Z,0.0034982
2013-02-14T00:47:14.583Z,NaN
2013-02-14T00:47:25.439Z,0.10947
2013-02-14T00:47:36.295Z,NaN
2013-02-14T00:47:47.151Z,NaN
2013-02-14T00:47:58.007Z,0.0051303
2013-02-14T00:48:08.863Z,0.0033045
2013-02-14T00:48:19.719Z,0.0018376
2013-02-14T00:48:30.575Z,0.019739
2013-02-14T00:48:41.431Z,1.2416
2013-02-14T00:48:52.287Z,NaN
2013-02-14T00:49:03.143Z,NaN
2013-02-14T00:49:13.999Z,NaN
2013-02-14T00:49:24.855Z,0.0088111
2013-02-14T00:49:35.711Z,0.56877
2013-02-14T00:49:46.567Z,NaN
2013-02-14T00:49:57.423Z,NaN
2013-02-14T00:50:08.279Z,0.26751
2013-02-14T00:50:19.135Z,1.0795
2013-02-14T00:50:29.991Z,NaN
2013-02-14T00:50:40.846Z,0.10233
2013-02-14T00:50:51.702Z,0.0020503
2013-02-14T00:51:02.558Z,0.010330
2013-02-14T00:51:13.414Z,0.0039882
2013-02-14T00:51:24.270Z,0.0030714
2013-02-14T00:51:35.126Z,NaN
2013-02-14T00:51:45.982Z,NaN
2013-02-14T00:51:56.838Z,0.0023564
2013-02-14T00:52:07.694Z,0.010339
2013-02-14T00:52:18.550Z,NaN
2013-02-14T00:52:29.406Z,NaN
2013-02-14T00:52:40.262Z,0.65457
2013-02-14T00:52:51.117Z,NaN
2013-02-14T00:53:01.973Z,NaN
2013-02-14T00:53:12.829Z,NaN
2013-02-14T00:53:23.685Z,NaN
2013-02-14T00:53:34.541Z,NaN
2013-02-14T00:53:45.397Z,0.64153
2013-02-14T00:53:56.253Z,NaN
2013-02-14T00:54:07.109Z,0.25292
2013-02-14T00:54:17.965Z,0.37811
2013-02-14T00:54:28.821Z,NaN
2013-02-14T00:54:39.677Z,NaN
2013-02-14T00:54:50.533Z,0.018683
2013-02-14T00:55:01.388Z,0.16596
2013-02-14T00:55:12.244Z,NaN
2013-02-14T00:55:23.100Z,0.091961
2013-02-14T00:55:33.956Z,0.056306
2013-02-14T00:55:44.812Z,0.18869
2013-02-14T00:55:55.668Z,0.48388
2013-02-14T00:56:06.524Z,0.96189
2013-02-14T00:56:17.380Z,0.28479
2013-02-14T00:56:28.236Z,0.29830
2013-02-14T00:56:39.091Z,0.073097
2013-02-14T00:56:49.947Z,0.63724
2013-02-14T00:57:00.803Z,0.90955
2013-02-14T00:57:11.659Z,NaN
2013-02-14T00:57:22.515Z,NaN
2013-02-14T00:57:33.371Z,0.33535
2013-02-14T00:57:44.227Z,NaN
2013-02-14T00:57:55.083Z,0.19958
2013-02-14T00:58:05.939Z,0.14844
2013-02-14T00:58:16.794Z,0.41332
2013-02-14T00:58:27.650Z,NaN
2013-02-14T00:58:38.506Z,0.92536
2013-02-14T00:58:49.362Z,NaN
2013-02-14T00:59:00.218Z,1.0430
2013-02-14T00:59:11.074Z,0.55774
2013-02-14T00:59:21.930Z,0.23832
2013-02-14T00:59:32.786Z,NaN
2013-02-14T00:59:43.641Z,0.20420
2013-02-14T00:59:54.497Z,NaN
2013-02-14T01:00:05.353Z,0.61969
2013-02-14T01:00:16.209Z,1.5501
2013-02-14T01:00:27.065Z,NaN
2013-02-14T01:00:37.921Z,NaN
2013-02-14T01:00:48.777Z,1.0248
2013-02-14T01:00:59.632Z,0.44257
2013-02-14T01:01:10.488Z,0.79373
2013-02-14T01:01:21.344Z,0.47115
2013-02-14T01:01:32.200Z,0.041763
2013-02-14T01:01:43.056Z,0.77267
2013-02-14T01:01:53.912Z,NaN
2013-02-14T01:02:04.768Z,0.026544
2013-02-14T01:02:15.624Z,0.38102
2013-02-14T01:02:26.479Z,0.50830
2013-02-14T01:02:37.335Z,NaN
2013-02-14T01:02:48.191Z,0.69380
2013-02-14T01:02:59.047Z,0.66951
2013-02-14T01:03:09.903Z,0.30496
2013-02-14T01:03:20.759Z,NaN
2013-02-14T01:03:31.614Z,0.30305
2013-02-14T01:03:42.470Z,0.17560
2013-02-14T01:03:53.326Z,1.0692
